word,count
首歌,5438
周杰倫,5006
真的,4263
還是,3009
什麼,2956
還在,2848
知道,2755
喜歡,2680
這首,2580
我們,2523
就是,2282
自己,2162
有人,2124
現在,2098
周董,2060
2024,2029
怎麼,2019
2025,1985
可以,1983
MV,1944
不是,1835
一個,1766
沒有,1670
感覺,1598
因為,1594
一直,1569
這個,1559
時候,1524
不能,1500
如果,1422
歌詞,1389
回來,1372
這麼,1363
覺得,1353
一起,1352
音樂,1297
傑倫,1272
歌曲,1244
以前,1215
不要,1212
回憶,1159
一樣,1142
ng,1132
只是,1088
演唱,1054
已經,1051
世界,1037
專輯,1012
開始,1010
時間,998
不會,989
希望,970
2023,956
不到,954
這樣,941
離開,939
mv,929
看到,926
還有,925
只有,920
旋律,900
發現,890
謝謝,885
oh,868
杰倫,856
那個,855
神曲,849
那麼,821
不用,816
所以,803
故事,786
原來,761
好像,759
de,754
很多,745
聽到,734
經典,731
好好,729
微笑,729
一首,728
這是,723
他們,716
繼續,706
一下,704
愛情,700
Oh,698
20,697
一定,696
一種,694
2022,676
聲音,672
永遠,670
一首歌,665
只能,661
方文山,660
其實,654
今天,642
我會,641
2021,639
大家,638
想要,635
就算,634
當年,630
10,624
這種,622
第一次,619
回到,619
幸福,608
雖然,603
記得,593
眼淚,592
有點,589
想起,584
但是,577
過去,572
一次,558
2020,556
需要,552
應該,549
到底,548
朋友,542
味道,542
依然,539
所有,538
簽到,536
非常,533
快樂,531
想到,524
不想,517
畫面,509
慢慢,509
年前,508
出來,507
作品,502
Jay,495
感動,494
公公,490
每次,485
作曲,484
不了,483
外婆,478
可能,476
sh,475
當時,472
一切,472
青春,467
這些,462
每天,455
歌手,455
突然,454
編曲,453
the,451
一點,449
前奏,447
2019,446
變成,446
等待,445
12,443
明白,443
起來,440
依舊,434
一天,432
時代,431
那些,430
哈哈,425
無法,424
多年,423
不過,422
笑容,421
有些,420
難過,415
根本,414
出現,409
舉手,406
娘子,406
生活,406
簡單,404
人生,403
作詞,396
竟然,395
是不是,394
可惜,393
完全,393
麻煩,390
女人,388
年代,383
一口,383
厲害,381
不錯,376
真是,374
不同,374
沉默,372
期待,371
加油,367
第一,366
回味,363
看看,363
哈哈哈,362
電影,361
11,360
多少,358
不知,357
這歌,357
22,356
風格,355
之前,354
超越,351
女主角,351
結果,351
副歌,351
you,349
完美,346
分手,344
思念,344
未來,343
天空,342
華語,337
溫柔,336
愛上,336
身邊,334
中國,330
流行,324
超好,323
懷念,323
每個,322
才能,322
XD,321
一路,321
這裡,320
一遍,318
地方,316
不好,315
一句,314
過來,312
Hey,311
特別,307
媽媽,306
最好,306
默默,305
生命,305
不見,304
我要,304
聽過,303
童年,302
小時候,302
決定,299
開心,297
得到,297
男人,296
告訴,296
你們,294
我覺,293
十年,292
最近,292
xi,290
地球,289
哪裡,289
別人,288
不再,286
曲風,285
是否,285
一些,284
忘記,284
女生,284
爸爸,283
可是,282
唱歌,282
創作,282
問題,281
想念,281
表情,280
改變,279
失去,278
心情,277
不管,277
看著,276
當初,275
太好,275
能夠,273
zh,272
Fa,272
ji,271
超人,270
記憶,269
眼睛,269
ni,269
美好,268
直到,268
回頭,266
me,266
努力,264
感謝,263
還好,259
而且,259
只要,258
存在,256
一步,255
沒人,254
爺爺,254
相信,253
錯過,251
留言,249
to,249
千年,247
原諒,246
小孩,245
兩個,244
時光機,244
美的,243
感情,243
情緒,243
播放,242
黑色,242
安靜,242
自由,242
擁有,241
叫做,241
浪漫,240
其他,240
wo,239
孩子,238
牽著,238
如此,236
還記,236
清楚,235
妳在,235
周杰,234
這張,232
意思,232
下去,231
情歌,231
公主,231
居然,230
我現,230
我給,229
注意,228
放在,228
rap,228
代表,227
一場,227
on,227
還要,225
直接,225
bu,225
準備,224
hu,224
那年,223
結局,223
始終,223
甜蜜,222
遠方,222
25,221
白色,221
美女,220
經過,220
仔細,220
好久,220
清晰,218
歷史,218
之一,217
雙截,217
堅持,216
le,216
樂壇,215
重要,215
有感,215
老師,214
一段,214
版本,214
方向,214
滿滿,214
目光,214
陪伴,213
超級,210
時光,209
驕傲,209
好多,209
不覺,208
唯一,208
很棒,207
整個,207
習慣,207
冬天,207
適合,206
愛的,206
輕輕,206
漂亮,205
像是,205
15,205
使用,205
一生,205
節奏,203
剛好,203
明明,203
害怕,203
告白,202
一堆,201
找到,200
無奈,200
哼哼,200
幾個,199
心碎,198
li,198
為何,197
給我,197
傷心,197
模樣,197
00,196
生日,196
手機,196
yi,196
不夠,196
時期,195
彼此,195
循環,194
風景,194
高中,193
越來,193
比較,193
01,193
好看,193
看見,193
如今,192
曾經,192
重新,192
打開,192
擁抱,192
形容,192
誘惑,192
再次,191
那段,191
太快,190
前進,190
新歌,189
熟悉,189
天涯,189
30,188
名字,188
落淚,188
城堡,188
真正,187
中國風,187
不來,187
一張,186
欣賞,185
影片,185
不得,185
幾年,184
手指,184
最愛的,184
依賴,184
再來,184
內容,184
牛仔,184
透明,183
人人,182
剛剛,181
走過,181
全部,181
ch,181
星星,180
認識,180
